millis,time,data,min,max
809956,8.382,1315,,
809964,8.39,1307,,
809975,8.401,1299,,
809986,8.412,1297,,
809994,8.42,1293,,
810005,8.431,1290,,
810016,8.442,1284,,
810024,8.45,1285,,
810035,8.461,1277,,
810046,8.472,1275,,
810054,8.48,1266,,
810065,8.491,1254,,
810076,8.502,1251,,
810084,8.51,1248,,
810095,8.521,1242,,
810106,8.532,1237,,
810114,8.54,1240,,
810125,8.551,1235,,
810136,8.562,1221,,
810144,8.57,1216,,
810155,8.581,1221,,
810166,8.592,1222,,
810174,8.6,1220,,
810185,8.611,1221,,
810196,8.622,1228,,
810204,8.63,1230,,
810215,8.641,1230,,
810226,8.652,1229,,
810234,8.66,1235,,
810245,8.671,1247,,
810256,8.682,1253,,
810264,8.69,1261,,
810275,8.701,1267,,
810286,8.712,1275,,
810294,8.72,1279,,
810305,8.731,1281,,
810316,8.742,1292,,
810324,8.75,1296,,
810335,8.761,1295,,
810346,8.772,1302,,
810354,8.78,1305,,
810365,8.791,1303,,
810376,8.802,1307,,
810384,8.81,1309,,
810395,8.821,1311,,
810406,8.832,1315,,
810414,8.84,1322,,
810424,8.85,1323,,
810435,8.861,1324,,
810446,8.872,1325,,
810456,8.882,1325,,
810464,8.89,1327,,
810475,8.901,1330,,
810486,8.912,1334,,
810494,8.92,1337,,
810505,8.931,1339,,
810516,8.942,1341,,
810524,8.95,1341,,
810535,8.961,1342,,
810546,8.972,1349,,
810554,8.98,1350,,
810565,8.991,1347,,
810576,9.002,1346,,
810584,9.01,1348,,
810595,9.021,1353,,
810606,9.032,1355,,
810614,9.04,1350,,
810625,9.051,1351,,
810636,9.062,1358,,
810644,9.07,1358,,
810655,9.081,1359,,
810666,9.092,1358,,
810674,9.1,1361,,
810685,9.111,1365,,
810696,9.122,1370,,
810704,9.13,1364,,
810715,9.141,1359,,
810726,9.152,1364,,
810734,9.16,1364,,
810745,9.171,1367,,
810756,9.182,1368,,
810764,9.19,1373,,
810775,9.201,1372,,
810786,9.212,1370,,
810794,9.22,1364,,
810805,9.231,1361,,
810816,9.242,1362,,
810824,9.25,1360,,
810835,9.261,1357,,
810846,9.272,1358,,
810854,9.28,1358,,
810865,9.291,1353,,
810876,9.302,1344,,
810884,9.31,1341,,
810895,9.321,1348,,
810906,9.332,1351,,
810914,9.34,1355,,
810925,9.351,1356,,
810936,9.362,1356,,
810944,9.37,1355,,
810955,9.381,1350,,
810966,9.392,1347,,
810974,9.4,1344,,
810985,9.411,1347,,
810996,9.422,1343,,
811004,9.43,1343,,
811015,9.441,1341,,
811026,9.452,1340,,
811034,9.46,1339,,
811044,9.47,1339,,
811055,9.481,1335,,
811066,9.492,1335,,
811074,9.5,1340,,
811085,9.511,1342,,
811096,9.522,1341,,
811104,9.53,1341,,
811115,9.541,1341,,
811126,9.552,1335,,
811134,9.56,1334,,
811145,9.571,1329,,
811156,9.582,1322,,
811164,9.59,1319,,
811175,9.601,1314,,
811186,9.612,1311,,
811194,9.62,1313,,
